#zone, q, logR, logRho, logT, logP, logPgas, luminosity, x_mass_fraction_H, y_mass_fraction_He, z_mass_fraction_metals, gamma1, opacity, pp, cno, gradr, gradT, grada, actual_gradT 
304, 9.9997656209073404E-001, 6.4934986753708612E-001, -4.0451964400979454E+000, 5.9269765317311478E+000, 1.0059832065905537E+001, 1.0008170842271564E+001, 2.0247035937526714E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5516061425408039E+000, 9.5932830972148020E-001, 1.9259169848016653E-014, 0.0000000000000000E+000, 2.2136837277406327E-001, 2.2136837277406327E-001, 3.1971353412710996E-001, 2.2136835204223773E-001 
305, 9.9997522695959529E-001, 6.4883819521818764E-001, -4.0310987529620492E+000, 5.9308970873944373E+000, 1.0077594771049700E+001, 1.0026195643298600E+001, 2.0247035557136605E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5519238465849967E+000, 9.5771884114064010E-001, 2.2019098177050413E-014, 0.0000000000000000E+000, 2.2224222421080170E-001, 2.2224222421080170E-001, 3.1992663796186877E-001, 2.2224222042852890E-001 
306, 9.9997468918863697E-001, 6.4863819274818380E-001, -4.0203878209793640E+000, 5.9339257490844108E+000, 1.0091157486303111E+001, 1.0039939951470116E+001, 2.0247035402944810E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5521466691372054E+000, 9.5634983446516009E-001, 2.4403620853366769E-014, 0.0000000000000000E+000, 2.2258461848588826E-001, 2.2258461848588826E-001, 3.2007599013693933E-001, 2.2258462911219828E-001 
307, 9.9997374715983434E-001, 6.4829573666513785E-001, -4.0062308946379881E+000, 5.9379300638274080E+000, 1.0109084845065839E+001, 1.0058105803915256E+001, 2.0247035131437038E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5524463505751325E+000, 9.5469309820375248E-001, 2.7948703232928613E-014, 0.0000000000000000E+000, 2.2314927918745056E-001, 2.2314927918745056E-001, 3.2027508420573741E-001, 2.2314930238041825E-001 
308, 9.9997266728036038E-001, 6.4791480759459974E-001, -3.9943480060976642E+000, 5.9412848695685447E+000, 1.0124123375780158E+001, 1.0073345598368880E+001, 2.0247034818022661E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5527073222327559E+000, 9.5347736025567398E-001, 3.1305779268721350E-014, 0.0000000000000000E+000, 2.2379222045429420E-001, 2.2379222045429420E-001, 3.2044575450755647E-001, 2.2379224322613339E-001 
309, 9.9997199165873085E-001, 6.4768242182079783E-001, -3.9863408166855820E+000, 5.9435580867021010E+000, 1.0134273721875875E+001, 1.0083626923759317E+001, 2.0247034620792827E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5528816781379642E+000, 9.5267041157636323E-001, 3.3798892032024846E-014, 0.0000000000000000E+000, 2.2418808575601121E-001, 2.2418808575601121E-001, 3.2055817730384906E-001, 2.2418808886946892E-001 
310, 9.9997145017019762E-001, 6.4749931213015732E-001, -3.9742567749385005E+000, 5.9470293027711714E+000, 1.0149646980110969E+001, 1.0099183928543004E+001, 2.0247034462099717E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5531327957423735E+000, 9.5137196241200839E-001, 3.7973875201919877E-014, 0.0000000000000000E+000, 2.2448988542721474E-001, 2.2448988542721474E-001, 3.2071790682066598E-001, 2.2448986759402437E-001 
311, 9.9997009644886437E-001, 6.4705313111328067E-001, -3.9608626976386629E+000, 5.9508424928250276E+000, 1.0166643196267300E+001, 1.0116394481813723E+001, 2.0247034062988725E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5534301996895237E+000, 9.5027553861307856E-001, 4.3156414583579296E-014, 0.0000000000000000E+000, 2.2523277410762060E-001, 2.2523277410762060E-001, 3.2090583842504428E-001, 2.2523274684713854E-001 
312, 9.9996928421606446E-001, 6.4679291872691635E-001, -3.9464123235577482E+000, 5.9550236316132050E+000, 1.0185071697296225E+001, 1.0135031531328986E+001, 2.0247033822004214E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5537275719639232E+000, 9.4897642186236908E-001, 4.9611290596741718E-014, 0.0000000000000000E+000, 2.2567042794632944E-001, 2.2567042794632944E-001, 3.2109147518666797E-001, 2.2567041436333893E-001 
313, 9.9996765603335347E-001, 6.4628703677459098E-001, -3.9324187160668607E+000, 5.9590329212491158E+000, 1.0202866142185139E+001, 1.0153040093562664E+001, 2.0247033335445467E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5540344131835169E+000, 9.4811009331768126E-001, 5.6704579313463009E-014, 0.0000000000000000E+000, 2.2652526091319855E-001, 2.2652526091319855E-001, 3.2128296602703182E-001, 2.2652527532887609E-001 
314, 9.9996683884532322E-001, 6.4604054458309645E-001, -3.9211568604305524E+000, 5.9623046626264911E+000, 1.0217246443324166E+001, 1.0167577362139568E+001, 2.0247033089542005E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5542642909185491E+000, 9.4734222646587396E-001, 6.3199721690777681E-014, 0.0000000000000000E+000, 2.2694927891018379E-001, 2.2694927891018379E-001, 3.2142522361243564E-001, 2.2694931274913685E-001 
315, 9.9996560996797990E-001, 6.4567860136502109E-001, -3.9087395632531918E+000, 5.9659083370061090E+000, 1.0233096659264119E+001, 1.0183601189151224E+001, 2.0247032717549129E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5545198848819735E+000, 9.4665840927599154E-001, 7.1202150401907800E-014, 0.0000000000000000E+000, 2.2756155466420375E-001, 2.2756155466420375E-001, 3.2158377408788613E-001, 2.2756158068658694E-001 
316, 9.9996451150992027E-001, 6.4536345394794292E-001, -3.8960063439344013E+000, 5.9696290574864381E+000, 1.0249383968607301E+001, 1.0200057728179759E+001, 2.0247032382864862E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5547713840443684E+000, 9.4599763987913221E-001, 8.0490455078611888E-014, 0.0000000000000000E+000, 2.2809740286342944E-001, 2.2809740286342944E-001, 3.2174021808751690E-001, 2.2809740550169622E-001 
317, 9.9996313549286142E-001, 6.4497915428829933E-001, -3.8856860992109308E+000, 5.9726337809300949E+000, 1.0262571099068223E+001, 1.0213385161632123E+001, 2.0247031960810818E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5549787076322086E+000, 9.4562655192505318E-001, 8.8857943060786034E-014, 0.0000000000000000E+000, 2.2875651303869218E-001, 2.2875651303869218E-001, 3.2187029070503131E-001, 2.2875649577844009E-001 
